1,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=375
2,2000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=375
3,4000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=197
4,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=375
5,2000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=133
6,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=221
7,2000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=283
8,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=216
9,2000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=45
10,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=375
11,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=133
12,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=403
13,3000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=392
14,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=388
15,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=443
16,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=280
17,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=80
18,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=411
19,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=375
20,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=59
21,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=98
22,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=388
23,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=460
24,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=388
25,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=80
26,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=133
27,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=98
28,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=388
29,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=457
30,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=332
31,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=354
32,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=133
33,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=280
34,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=457
35,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=98
36,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=59
37,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=178
38,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=422
39,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=481
40,2000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=133
41,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=314
42,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=197
43,2000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=459
44,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=488
45,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=458
46,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=215
47,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=481
48,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=314
49,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=354
50,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=457
51,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=458
52,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=133
53,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=356
54,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=80
55,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=488
56,2000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=98
57,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=80
58,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=133
59,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=98
60,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=422
61,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=80
62,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=80
63,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=481
64,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=442
65,2000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=98
66,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=354
67,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=414
68,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=354
69,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=31
70,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=414
71,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=102
72,2000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=481
73,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=80
74,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=206
75,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=8
76,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=31
77,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=331
78,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=179
79,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=8
80,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=98
81,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=223
82,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=354
83,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=133
84,2000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=31
85,2000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=80
86,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=440
87,2000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=354
88,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=354
89,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=8
90,2000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=89
91,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=358
92,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=8
93,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=80
94,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=31
95,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=102
96,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=80
97,1000,GET_W_PQ,/tools.descartes.teastore.webui/product?id=273
98,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=175
99,0,GET_W_PQ,/tools.descartes.teastore.webui/product?id=285
